>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 1 | Step 0 | Pred Loss: 0.77852
Stage 1 | Step 1000 | Pred Loss: 0.00029
Stage 1 | Step 2000 | Pred Loss: 0.00073
Stage 1 | Step 3000 | Pred Loss: 0.00029
Stage 1 | Step 4000 | Pred Loss: 0.00041
Stage 1 | Step 5000 | Pred Loss: 0.00027
Stage 1 | Step 6000 | Pred Loss: 0.00026
Stage 1 | Step 7000 | Pred Loss: 0.00020
Stage 1 | Step 8000 | Pred Loss: 0.00014
Stage 1 | Step 9000 | Pred Loss: 0.00028
>>> STAGE 2: BC Pre-training
Stage 2 | Step 0 | BC Loss: 41.56303
Stage 2 | Step 1000 | BC Loss: 0.45247
Stage 2 | Step 2000 | BC Loss: 0.45733
Stage 2 | Step 3000 | BC Loss: 0.40372
Stage 2 | Step 4000 | BC Loss: 0.46187
Stage 2 | Step 5000 | BC Loss: 0.42635
Stage 2 | Step 6000 | BC Loss: 0.48221
Stage 2 | Step 7000 | BC Loss: 0.41139
Stage 2 | Step 8000 | BC Loss: 0.32534
Stage 2 | Step 9000 | BC Loss: 0.49175
Stage 2 | Step 10000 | BC Loss: 0.50485
Stage 2 | Step 11000 | BC Loss: 0.34625
Stage 2 | Step 12000 | BC Loss: 0.44611
Stage 2 | Step 13000 | BC Loss: 0.34314
Stage 2 | Step 14000 | BC Loss: 0.32316
Stage 2 | Step 15000 | BC Loss: 0.27357
Stage 2 | Step 16000 | BC Loss: 0.34979
Stage 2 | Step 17000 | BC Loss: 0.35583
Stage 2 | Step 18000 | BC Loss: 0.43041
Stage 2 | Step 19000 | BC Loss: 0.28653
Stage 2 | Step 20000 | BC Loss: 0.30760
Stage 2 | Step 21000 | BC Loss: 0.30009
Stage 2 | Step 22000 | BC Loss: 0.30265
Stage 2 | Step 23000 | BC Loss: 0.25509
Stage 2 | Step 24000 | BC Loss: 0.31387
Stage 2 | Step 25000 | BC Loss: 0.25731
Stage 2 | Step 26000 | BC Loss: 0.21819
Stage 2 | Step 27000 | BC Loss: 0.39806
Stage 2 | Step 28000 | BC Loss: 0.23016
Stage 2 | Step 29000 | BC Loss: 0.37439
Stage 2 | Step 30000 | BC Loss: 0.24594
Stage 2 | Step 31000 | BC Loss: 0.27754
Stage 2 | Step 32000 | BC Loss: 0.25285
Stage 2 | Step 33000 | BC Loss: 0.20596
Stage 2 | Step 34000 | BC Loss: 0.26461
Stage 2 | Step 35000 | BC Loss: 0.24148
Stage 2 | Step 36000 | BC Loss: 0.22039
Stage 2 | Step 37000 | BC Loss: 0.18365
Stage 2 | Step 38000 | BC Loss: 0.22972
Stage 2 | Step 39000 | BC Loss: 0.24328
Stage 2 | Step 40000 | BC Loss: 0.31803
Stage 2 | Step 41000 | BC Loss: 0.27689
Stage 2 | Step 42000 | BC Loss: 0.15890
Stage 2 | Step 43000 | BC Loss: 0.19121
Stage 2 | Step 44000 | BC Loss: 0.31752
