>>> STAGE 1: Encoder Pre-training
>> Collecting 10000 steps of data...
Stage 2 | Step 7800 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 7900 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 8000 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 8100 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 8200 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 8300 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 8400 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 8500 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 8600 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 8700 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 8800 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 8900 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9000 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9100 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9200 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9300 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 9400 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9500 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 9600 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 9700 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 9800 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 9900 | BC Loss: 0.00011 | Best: 0.00006
Stage 2 | Step 10000 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 10100 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 10200 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 10300 | BC Loss: 0.00010 | Best: 0.00006
Stage 2 | Step 10400 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 10500 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 10600 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 10700 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 10800 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 10900 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 11000 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 11100 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 11200 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 11300 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 11400 | BC Loss: 0.00010 | Best: 0.00006
Stage 2 | Step 11500 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 11600 | BC Loss: 0.00010 | Best: 0.00006
Stage 2 | Step 11700 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 11800 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 11900 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 12000 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 12100 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 12200 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 12300 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 12400 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 12500 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 12600 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 12700 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 12800 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 12900 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13000 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13100 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13200 | BC Loss: 0.00009 | Best: 0.00006
Stage 2 | Step 13300 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 13400 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13500 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 13600 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13700 | BC Loss: 0.00010 | Best: 0.00006
Stage 2 | Step 13800 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 13900 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 14000 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 14100 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 14200 | BC Loss: 0.00008 | Best: 0.00006
Stage 2 | Step 14300 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 14400 | BC Loss: 0.00007 | Best: 0.00006
Stage 2 | Step 14500 | BC Loss: 0.00007 | Best: 0.00006
